発生・復旧日時,停電地域,原因,発生軒数
都道府県,市区町村,地区
 6月10日 23:27～6月10日 23:28 ,滋賀県,高島市," 安曇川町　上古賀、
安曇川町　下古賀、
安曇川町　田中、
安曇川町　長尾、
安曇川町　中野、
朽木　荒川
",弊社設備への樹木や鳥獣等の接触,"
												約-軒											"
 6月10日 23:20～6月10日 23:21 ,和歌山県,紀の川市," 桃山町　調月
",調査の結果、原因不明,"
												約-軒											"
 6月10日 19:58～6月10日 19:59 ,兵庫県,神戸市　西区," 岩岡町　岩岡、
神出町　池田、
神出町　北、
神出町　小束野、
神出町　田井、
神出町　東、
神出町　広谷、
神出町　宝勢、
神出町　紫合
",弊社設備への樹木や鳥獣等の接触,"
												約-軒											"
加古郡　稲美町," 印南、
印南上場
"
 6月10日 19:48～6月10日 19:49 ,兵庫県,姫路市," 別所町　北宿、
別所町　小林、
別所町　別所
",調査の結果、原因不明,"
												約-軒											"
高砂市," 阿弥陀１丁目、
阿弥陀町　阿弥陀、
金ケ田町
"
 6月10日 18:40～6月10日 18:42 ,和歌山県,西牟婁郡　白浜町," 内ノ川、
栄、
庄川、
平、
十九渕、
椿、
富田、
中、
保呂、
安居、
安宅、
大古、
口ケ谷、
塩野、
田野井、
日置、
矢田
",調査の結果、原因不明,"
												約-軒											"
西牟婁郡　すさみ町," 口和深
"
 6月10日 17:37～6月10日 17:38 ,滋賀県,甲賀市," 甲南町　市原、
甲南町　杉谷、
水口町　牛飼、
水口町　貴生川、
水口町　三大寺、
水口町　杣中、
水口町　高山、
水口町　山上
",弊社設備への樹木や鳥獣等の接触,"
												約-軒											"
 6月10日 15:18～6月10日 15:19 ,大阪府,富田林市," 別井１丁目
",弊社設備への樹木や鳥獣等の接触,"
												約-軒											"
南河内郡　河南町," 大字大ヶ塚、
大字寺田、
大字山城
"
 6月10日 12:22～6月10日 12:23 ,兵庫県,神戸市　西区," 櫨谷町　池谷、
櫨谷町　栃木、
櫨谷町　長谷、
櫨谷町　福谷、
竹の台１丁目、
井吹台東町１丁目、
井吹台西町１丁目、
井吹台北町１丁目
",弊社設備への樹木や鳥獣等の接触,"
												約-軒											"
 6月10日 12:01～6月10日 12:07 ,大阪府,柏原市," 円明町
",弊社設備への樹木や鳥獣等の接触,"
												約-軒											"
 6月10日 12:01～6月10日 12:07 ,大阪府,柏原市," 円明町
",弊社設備への樹木や鳥獣等の接触,"
												約-軒											"
 6月10日 12:01～6月10日 12:08 ,大阪府,柏原市," 円明町
",弊社設備への樹木や鳥獣等の接触,"
												約-軒											"
 6月10日 12:01～6月10日 12:02 ,大阪府,柏原市," 円明町
",弊社設備への樹木や鳥獣等の接触,"
												約-軒											"
羽曳野市," 駒ケ谷
"
 6月10日 08:53～6月10日 09:14 ,大阪府,大阪市　住之江区," 南港南７丁目
",調査中,"
												約10軒											"
 6月10日 08:43～6月10日 08:44 ,大阪府,泉大津市," 春日町、
東雲町、
松之浜町１丁目、
松之浜町２丁目
",弊社設備への樹木や鳥獣等の接触,"
												約-軒											"
 6月10日 07:49～6月10日 07:50 ,大阪府,堺市　美原区," 多治井、
木材通１丁目、
木材通３丁目、
木材通４丁目
",弊社設備への樹木や鳥獣等の接触,"
												約-軒											"
 6月10日 07:40～6月10日 07:45 ,京都府,船井郡　京丹波町," 下山
",弊社設備の不具合,"
												約560軒											"
 6月10日 07:39～6月10日 07:40 ,京都府,船井郡　京丹波町," 下山、
富田
",調査中,"
												約-軒											"
 6月10日 07:16～6月10日 07:17 ,大阪府,堺市　美原区," 多治井、
木材通１丁目、
木材通３丁目、
木材通４丁目
",弊社設備への樹木や鳥獣等の接触,"
												約-軒											"
 6月10日 06:30～6月10日 06:32 ,三重県,南牟婁郡　御浜町," 大字阿田和
",弊社設備への樹木や鳥獣等の接触,"
												約-軒											"
南牟婁郡　紀宝町," 井田、
鵜殿
"
 6月10日 05:34～6月10日 05:35 ,兵庫県,豊岡市," 森尾
",弊社設備への樹木や鳥獣等の接触,"
												約-軒											"
 6月10日 00:26～6月10日 02:03 ,大阪府,泉南郡　熊取町," 東和苑、
長池、
美熊台１丁目、
美熊台２丁目、
朝代西１丁目、
朝代西２丁目、
朝代西３丁目、
朝代西４丁目、
朝代東１丁目、
朝代東２丁目、
朝代東４丁目
",弊社設備への樹木や鳥獣等の接触,"
												約180軒											"
